title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity
Inception,8.364,34495,2010-07-15,825532764,148,160000000,83.952,"['Action', 'Science Fiction', 'Adventure']",5,180.0,0.9720274445856059,0.777622,0.9720274,0.388811
Interstellar,8.417,32571,2014-11-05,701729206,169,165000000,140.241,"['Adventure', 'Drama', 'Science Fiction']",6,210.0,1.0,0.6,1.0,0.6
The Dark Knight,8.512,30619,2008-07-16,1004558444,152,185000000,130.643,"['Drama', 'Action', 'Crime', 'Thriller']",6,180.0,1.0,0.6,1.0,0.8
Avatar,7.573,29815,2009-12-15,2923706026,162,237000000,79.932,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",6,180.0,0.9581993906300492,0.7665595,0.9581994,0.3832798
The Avengers,7.71,29166,2012-04-25,1518815515,143,220000000,98.082,"['Science Fiction', 'Action', 'Adventure']",5,180.0,1.0,0.8,1.0,0.4
Deadpool,7.606,28894,2016-02-09,783100000,108,58000000,72.735,"['Action', 'Adventure', 'Comedy']",4,120.0,0.9312115485059689,0.9312115,0.9312115,0.5587269
Avengers: Infinity War,8.255,27713,2018-04-25,2052415039,149,300000000,154.34,"['Adventure', 'Action', 'Science Fiction']",5,180.0,1.0,0.8,1.0,0.4
Fight Club,8.438,27238,1999-10-15,100853753,139,63000000,69.498,['Drama'],5,150.0,0.9179983254411221,0.3671993,0.9179983,0.9179983
Guardians of the Galaxy,7.906,26638,2014-07-30,772776600,121,170000000,33.255,"['Action', 'Science Fiction', 'Adventure']",5,150.0,0.6845880546521597,0.5476704,0.6845881,0.2738352
Pulp Fiction,8.488,25893,1994-09-10,213900000,154,8500000,74.862,"['Thriller', 'Crime']",6,180.0,0.9395123369876963,0.3758049,0.9395123,0.7516099
Forrest Gump,8.477,25409,1994-06-23,677387716,142,55000000,92.693,"['Comedy', 'Drama', 'Romance']",5,180.0,0.999521069726343,0.5997126,0.9995211,0.9995211
Harry Potter and the Philosopher's Stone,7.916,25379,2001-11-16,976475550,152,125000000,185.482,"['Adventure', 'Fantasy']",6,180.0,1.0,1.0,1.0,0.4
Iron Man,7.64,24874,2008-04-30,585174222,126,140000000,72.897,"['Action', 'Science Fiction', 'Adventure']",5,150.0,0.9318540395055283,0.7454832,0.931854,0.3727416
Django Unchained,8.171,24672,2012-12-25,425368238,165,100000000,54.224,"['Drama', 'Western']",6,180.0,0.8436611242870107,0.3374644,0.6749289,0.8436611
The Shawshank Redemption,8.702,24649,1994-09-23,28341469,142,25000000,122.61,"['Drama', 'Crime']",5,180.0,1.0,0.4,1.0,1.0
Avengers: Endgame,8.263,23857,2019-04-24,2800000000,181,356000000,91.756,"['Adventure', 'Science Fiction', 'Action']",7,210.0,0.9967261917152057,0.797381,0.9967262,0.3986905
The Matrix,8.206,23815,1999-03-30,463517383,136,63000000,78.564,"['Action', 'Science Fiction']",5,150.0,0.9533012433385968,0.762641,0.9533012,0.3813205
Titanic,7.9,23637,1997-11-18,2264162353,194,200000000,102.348,"['Drama', 'Romance']",7,240.0,1.0,0.4,1.0,1.0
Joker,8.168,23425,2019-10-01,1074458282,122,55000000,54.522,"['Crime', 'Thriller', 'Drama']",5,150.0,0.8453464393315104,0.3381386,0.8453464,0.6762772
